,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice,saleyear
1181,2012,Ford,Mustang,V6,Convertible,automatic,ca,4.2,46700.0,red,black,11500,2014
1182,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.8,20181.0,gray,black,19500,2014
1183,2012,Honda,Civic,EX,Coupe,automatic,ca,1.9,19340.0,red,gray,11200,2014
1184,2012,Honda,Accord,EX,Sedan,automatic,ca,4.0,33248.0,gray,black,14700,2014
1185,2012,Honda,Pilot,Touring,SUV,automatic,ca,4.5,23288.0,white,black,26750,2014
1186,2012,Ford,Mustang,GT,Coupe,manual,ca,4.4,28781.0,blue,gray,20250,2014
1187,2012,Honda,Civic,LX,Sedan,automatic,ca,2.3,71774.0,gray,beige,8900,2015
1188,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.1,29331.0,white,black,19500,2014
1189,2012,Honda,CR-V,EX-L,SUV,automatic,ca,3.7,43096.0,black,black,19250,2014
1190,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,2.0,53284.0,gray,gray,8000,2014
1191,2012,Hyundai,Sonata,Limited,Sedan,automatic,ca,4.4,23468.0,white,beige,17500,2014
1192,2012,Hyundai,Accent,GS,Hatchback,automatic,ca,3.1,44259.0,blue,black,7900,2014
1193,2012,Honda,Accord,LX,Sedan,automatic,ca,4.1,42418.0,gray,black,12800,2014
1194,2012,Hyundai,Tucson,GLS,SUV,automatic,ca,4.0,56451.0,gray,black,13400,2014
1195,2012,Honda,Accord,SE,Sedan,automatic,ca,1.9,35287.0,silver,black,12800,2014
1196,2012,Ford,Mustang,V6,Convertible,automatic,ca,2.5,63964.0,white,—,9000,2014
1197,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.6,30475.0,white,gray,18500,2014
1198,2012,Honda,Pilot,EX,SUV,automatic,ca,2.5,51201.0,gray,gray,17000,2014
1199,2012,Ford,Fusion,SEL,Sedan,automatic,ca,2.9,120695.0,gray,black,6000,2014
1200,2012,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.1,29954.0,blue,beige,11300,2014
1201,2012,Honda,Civic,LX,Coupe,automatic,ca,1.9,29149.0,silver,beige,7500,2014
1202,2012,Honda,Civic,LX,Sedan,automatic,ca,3.8,30961.0,white,black,12500,2014
1203,2012,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.2,34411.0,black,beige,11600,2014
1204,2012,Hyundai,Tucson,GLS,SUV,automatic,ca,2.0,40716.0,blue,gray,10100,2014
1205,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.4,17857.0,gray,black,20500,2014
1206,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.1,21493.0,white,black,20250,2014
1207,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.5,4220.0,gray,black,22250,2014
1208,2012,Honda,Accord,LX,Sedan,automatic,ca,3.9,27112.0,gray,black,13500,2014
1209,2012,Honda,Civic,LX,Sedan,automatic,ca,3.6,47851.0,silver,gray,11400,2014
1210,2012,Hyundai,Elantra,GLS,Sedan,automatic,ca,3.6,39015.0,black,beige,11100,2014
1211,2012,Honda,Accord,SE,Sedan,automatic,ca,4.0,28633.0,silver,black,13600,2014
1212,2012,Hyundai,Sonata,Limited,Sedan,automatic,ca,2.5,40057.0,black,black,14400,2015
1213,2012,Honda,Crosstour,EX-L,Hatchback,automatic,ca,4.3,25162.0,white,beige,20200,2014
1214,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.2,35967.0,gold,beige,18600,2014
1215,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.2,108714.0,blue,black,6600,2014
1216,2012,Honda,Accord,LX-P,Sedan,automatic,ca,4.2,46058.0,silver,black,13200,2014
1217,2012,Honda,Civic,LX,Sedan,automatic,ca,3.9,40568.0,blue,beige,11900,2014
1218,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.3,72006.0,silver,black,14200,2014
1219,2012,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,ca,3.0,50382.0,—,gray,12000,2014
1220,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.5,35614.0,gray,black,17500,2014
1221,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.5,48016.0,black,black,16500,2014
1222,2012,GMC,Terrain,SLE-2,SUV,automatic,ca,3.0,12101.0,silver,black,14950,2014
1223,2012,Ford,Fusion,SEL,Sedan,automatic,ca,4.3,7521.0,silver,black,14500,2014
1224,2012,Hyundai,Santa Fe,SE,SUV,automatic,ca,4.1,30188.0,—,gray,12500,2014
1225,2012,Honda,CR-V,EX-L,SUV,automatic,ca,3.3,45307.0,blue,black,18200,2014
1226,2012,Honda,Civic,LX,Sedan,automatic,ca,3.7,43894.0,black,gray,12000,2014
1227,2012,Honda,Civic,EX,Sedan,automatic,ca,2.8,65969.0,black,beige,11100,2014
1228,2012,Hyundai,Accent,GS,Hatchback,automatic,ca,3.8,35087.0,black,gray,9600,2014
1229,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.3,13827.0,gray,black,20000,2014
1230,2012,Honda,Accord,SE,Sedan,automatic,ca,3.1,42990.0,silver,black,13600,2014
1231,2012,Ford,Fusion,S,Sedan,automatic,ca,3.2,116173.0,black,gray,6600,2014
1232,2012,Ford,Fusion,SEL,Sedan,automatic,ca,2.9,45663.0,silver,black,11600,2014
1233,2012,Honda,Accord,EX-L,Sedan,automatic,ca,3.1,35404.0,gray,gray,15800,2014
1234,2012,Honda,Odyssey,EX-L,Minivan,automatic,ca,3.6,34467.0,silver,brown,22250,2014
1235,2012,Hyundai,Elantra,Limited,Sedan,automatic,ca,2.6,56172.0,black,black,11000,2014
1236,2012,Ford,Mustang,V6,Convertible,automatic,ca,3.7,49668.0,red,black,11200,2014
1237,2012,Hyundai,Azera,Base,Sedan,automatic,ca,3.7,39542.0,brown,beige,17700,2014
1238,2012,Ford,Fusion,SE,Sedan,automatic,ca,2.8,62752.0,white,gray,9800,2015
1239,2012,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.1,43939.0,black,gray,11000,2015
1240,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.4,41949.0,red,black,10900,2014
1241,2012,Honda,Accord,LX-S,Coupe,automatic,ca,1.9,32635.0,black,black,12100,2014
1242,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.9,66109.0,white,gray,8900,2014
1243,2012,Honda,Accord,LX,Sedan,automatic,ca,3.8,27263.0,silver,gray,14100,2014
1244,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.1,12083.0,white,beige,20500,2014
1245,2012,Ford,Taurus,SEL,Sedan,automatic,ca,3.6,62827.0,black,black,11500,2014
1246,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.3,33958.0,black,black,17000,2014
1247,2012,Honda,Pilot,LX,SUV,automatic,ca,3.9,35374.0,silver,gray,17200,2014
1248,2012,Honda,Pilot,Touring,SUV,automatic,ca,3.9,78603.0,white,gray,23000,2014
1249,2012,Honda,Accord,LX,Sedan,automatic,ca,2.3,19873.0,black,tan,12700,2014
1250,2012,Honda,Pilot,EX-L,SUV,automatic,ca,3.2,28883.0,white,gray,24000,2014
1251,2012,Ford,Taurus,SE,Sedan,automatic,ca,4.2,85743.0,black,gray,11000,2014
1252,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.1,36369.0,white,beige,12700,2014
1253,2012,Ford,Fusion,SEL,Sedan,automatic,ca,3.4,45384.0,silver,black,12100,2014
1254,2012,Honda,Civic,LX,Sedan,automatic,ca,4.1,103097.0,white,gray,8800,2014
1255,2012,Honda,Pilot,EX-L,SUV,automatic,ca,3.5,29120.0,black,gray,23000,2014
1256,2012,Infiniti,G Coupe,G37,G Coupe,automatic,ca,4.7,13076.0,black,—,23000,2014
1258,2012,Honda,Civic,LX,Sedan,automatic,ca,2.4,36218.0,black,gray,10600,2015
1259,2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,ca,5.0,17437.0,black,gray,17400,2014
1260,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.0,28016.0,black,black,19100,2014
1261,2012,Hyundai,Tucson,Limited,SUV,automatic,ca,2.0,44645.0,black,gray,12000,2014
1262,2012,Infiniti,G Convertible,G37,G Convertible,automatic,ca,2.4,5710.0,black,black,26250,2014
1263,2012,Ford,Mustang,V6,Coupe,automatic,ca,3.6,37966.0,red,black,12100,2014
1264,2012,Ford,Fusion,SEL,Sedan,automatic,ca,3.8,51424.0,white,beige,11250,2014
1266,2012,Honda,Accord,LX,Sedan,automatic,ca,4.4,33415.0,silver,gray,13400,2014
1267,2012,Honda,Pilot,EX,SUV,automatic,ca,2.0,36828.0,blue,gray,17200,2014
1268,2012,Honda,Accord,SE,Sedan,automatic,ca,3.5,30866.0,silver,black,13900,2014
1269,2012,Honda,Pilot,EX-L,SUV,automatic,ca,3.8,35501.0,black,gray,23500,2014
1270,2012,Honda,Accord,SE,Sedan,automatic,ca,3.7,36706.0,silver,black,14000,2014
1271,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.0,42665.0,blue,gray,11600,2014
1272,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.5,19831.0,gray,black,18500,2014
1273,2012,Ford,Fusion,SEL,Sedan,automatic,ca,4.1,39057.0,—,tan,10800,2014
1274,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.8,52012.0,blue,black,9250,2014
1275,2012,Honda,Accord,SE,Sedan,automatic,ca,1.9,14528.0,black,gray,14000,2014
1276,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.1,35584.0,black,beige,12700,2014
1277,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.4,69921.0,black,black,9100,2014
1278,2012,Ford,Mustang,V6,Convertible,automatic,ca,3.3,47558.0,black,black,11400,2014
1279,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,3.4,74227.0,purple,beige,13800,2015
1280,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.7,14334.0,black,black,20250,2014
1281,2012,Honda,Pilot,Touring,SUV,automatic,ca,3.7,57075.0,black,gray,24500,2014
1282,2012,Hyundai,Sonata,Limited,Sedan,automatic,ca,4.5,35729.0,silver,gray,16300,2015
1283,2012,Ford,Mustang,V6,Coupe,automatic,ca,4.1,64757.0,white,black,13250,2014
1284,2012,Honda,Accord,EX-L,Sedan,automatic,ca,4.6,39312.0,black,black,15800,2014
1286,2012,Hyundai,Accent,GLS,Sedan,automatic,ca,3.5,42403.0,gray,gray,8000,2014
1287,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.0,40065.0,silver,gray,11900,2014
1288,2012,Honda,Accord,SE,Sedan,automatic,ca,3.5,30908.0,gray,black,14100,2014
1289,2012,Honda,Accord,SE,Sedan,automatic,ca,1.9,31377.0,gray,black,12500,2014
1290,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,2.2,28181.0,white,beige,10200,2014
1291,2012,Honda,Civic,LX,Sedan,automatic,ca,3.7,43570.0,red,tan,12200,2014
1292,2012,Honda,Civic,LX,Coupe,automatic,ca,2.1,44061.0,blue,gray,9700,2014
1293,2012,Honda,Accord,LX-P,Sedan,automatic,ca,2.6,24318.0,white,gray,12300,2014
1294,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.6,40341.0,black,black,19800,2014
1295,2012,Honda,Odyssey,LX,Minivan,automatic,ca,3.2,83734.0,beige,beige,13700,2015
1296,2012,Hyundai,Elantra,Limited,Sedan,automatic,ca,3.6,34230.0,gray,gray,12700,2014
1297,2012,Honda,Civic,LX,Coupe,automatic,ca,2.6,56731.0,black,gray,9100,2014
1298,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.4,20345.0,gray,black,19000,2014
1299,2012,Honda,Civic,EX,Sedan,automatic,ca,2.1,32403.0,gray,gray,11500,2014
1300,2012,Honda,Civic,EX-L,Sedan,automatic,ca,1.9,14958.0,gray,gray,12800,2014
1301,2012,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.0,37504.0,black,beige,7100,2015
1302,2012,Hyundai,Azera,Base,Sedan,automatic,ca,4.5,46218.0,black,black,18000,2014
1303,2012,Honda,Accord,SE,Sedan,automatic,ca,2.1,25626.0,black,black,13100,2014
1304,2012,Ford,Fusion,SEL,Sedan,automatic,ca,2.8,85069.0,gray,tan,7900,2014
1305,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.7,37315.0,gray,black,12200,2014
1306,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.7,48502.0,gray,gray,11500,2014
1307,2012,Honda,Civic,EX,Coupe,automatic,ca,3.0,44830.0,blue,gray,10750,2014
1308,2012,Ford,Fusion,Hybrid,Sedan,automatic,ca,4.1,64948.0,white,black,12000,2014
1309,2012,Honda,Odyssey,EX,Minivan,automatic,ca,3.6,36351.0,gray,gray,19100,2014
1310,2012,Ford,Fusion,SE,Sedan,automatic,ca,3.5,28992.0,silver,beige,12200,2014
1311,2012,Honda,Accord,SE,Sedan,automatic,ca,4.2,20187.0,silver,black,15300,2014
1312,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,3.9,61835.0,silver,black,11800,2015
1313,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,2.6,30100.0,gray,black,15000,2014
1314,2012,Honda,Civic,EX,Sedan,automatic,ca,2.2,35823.0,black,gray,11200,2014
1315,2012,Hyundai,Accent,GLS,Sedan,automatic,ca,1.9,40558.0,blue,gray,7900,2014
1316,2012,Ford,Taurus,SEL,Sedan,automatic,ca,2.5,55817.0,gray,beige,10600,2014
1317,2012,Honda,Accord,EX-L V-6,Sedan,automatic,ca,4.4,25954.0,white,beige,17800,2014
1318,2012,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,ca,1.9,70018.0,—,gray,11000,2014
1319,2012,Ford,Taurus,SE,Sedan,automatic,ca,2.0,56916.0,white,tan,10200,2014
1320,2012,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.5,60874.0,gray,gray,10000,2014
1321,2012,Honda,Crosstour,EX-L,Hatchback,automatic,ca,4.1,32023.0,white,black,18400,2014
1322,2012,Honda,Civic,LX,Sedan,automatic,ca,2.6,21036.0,gray,gray,11300,2014
1323,2012,Infiniti,FX,FX35,SUV,automatic,ca,3.5,31204.0,black,beige,26250,2014
1324,2012,Honda,Crosstour,EX-L,Hatchback,automatic,ca,2.5,27308.0,gray,beige,16600,2014
1325,2012,Hyundai,Elantra,Limited,Sedan,automatic,ca,1.9,44225.0,black,gray,10600,2014
1326,2012,Hyundai,Sonata,Limited,Sedan,automatic,ca,3.3,44051.0,white,tan,15000,2014
1327,2012,Infiniti,G Convertible,G37,G Convertible,automatic,ca,3.8,25421.0,black,black,27500,2014
1328,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.7,27599.0,blue,gray,19000,2014
1329,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.3,18752.0,white,black,20000,2014
1330,2012,GMC,Yukon,Denali,SUV,automatic,ca,4.3,64883.0,silver,black,29000,2014
1331,2012,Infiniti,G Coupe,G37,G Coupe,automatic,ca,4.4,11090.0,black,gray,24000,2014
1332,2012,Hyundai,Genesis,3.8,Sedan,automatic,ca,1.9,29454.0,black,black,14400,2015
1333,2012,Hyundai,Veracruz,Limited,SUV,automatic,ca,4.5,24444.0,silver,yellow,19600,2014
1334,2012,Honda,Odyssey,Touring,Minivan,automatic,ca,4.6,37403.0,silver,gray,26500,2014
1335,2012,Honda,Civic,HF,Sedan,automatic,ca,3.4,24651.0,gray,gray,13400,2014
1336,2012,Honda,Civic,LX,Sedan,automatic,ca,2.1,42543.0,silver,beige,11000,2015
1337,2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.8,31239.0,black,black,19000,2014
1338,2012,Honda,Civic,LX,Coupe,automatic,ca,2.5,25315.0,white,gray,10900,2014
1339,2012,Honda,Accord,SE,Sedan,automatic,ca,4.3,38065.0,silver,black,14600,2014
1340,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,4.2,24090.0,white,black,23000,2014
1341,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,26216.0,white,black,22750,2014
1343,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.6,28549.0,blue,beige,21250,2014
1344,2012,MINI,Cooper Clubman,Base,Hatchback,automatic,ca,3.6,36963.0,white,black,14500,2014
1345,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.1,15090.0,white,—,14000,2014
1346,2012,Kia,Forte,EX,Sedan,automatic,ca,3.9,40324.0,white,gray,10000,2014
1347,2012,Jaguar,XJ,Base,Sedan,automatic,ca,4.5,12912.0,black,beige,49000,2014
1348,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.7,23278.0,red,—,13000,2014
1349,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,31557.0,gray,beige,23000,2014
1350,2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,ca,4.0,34837.0,black,black,27500,2014
1351,2012,Jeep,Liberty,Sport,SUV,automatic,ca,2.9,33667.0,gray,gray,12750,2014
1352,2012,Lexus,IS 250,Base,Sedan,automatic,ca,2.7,45140.0,silver,black,18500,2015
1353,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.2,54588.0,white,black,13000,2014
1354,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,27289.0,blue,black,22500,2014
1356,2012,MINI,Cooper Countryman,Base,Wagon,automatic,ca,3.7,37322.0,green,black,16200,2014
1357,2012,Jaguar,XK,XKR,Convertible,automatic,ca,4.2,16234.0,silver,black,53000,2014
1358,2012,Lexus,IS 250,Base,Sedan,automatic,ca,1.9,97900.0,white,black,11400,2014
1359,2012,Infiniti,QX,QX56,SUV,automatic,ca,4.2,74806.0,gray,black,34250,2014
1360,2012,Lexus,RX 350,Base,SUV,automatic,ca,3.6,47516.0,gray,gray,22500,2015
1361,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.5,21927.0,gray,gray,21000,2014
1362,2012,Infiniti,G Coupe,G37,G Coupe,automatic,ca,4.1,31584.0,black,black,22250,2014
1363,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.8,32031.0,red,black,14000,2014
1364,2012,Lexus,CT 200h,Premium,Hatchback,automatic,ca,4.5,31349.0,white,brown,24250,2014
1365,2012,Jeep,Wrangler,Unlimited Sport,SUV,automatic,ca,3.8,39702.0,red,black,25000,2014
1366,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.0,45476.0,red,—,12000,2015
1367,2012,Mazda,Mazda6,i Touring,Sedan,automatic,ca,3.6,47221.0,gray,beige,9500,2014
1368,2012,Lincoln,MKZ,Base,Sedan,automatic,ca,4.0,34103.0,gray,black,13750,2014
1369,2012,Lexus,RX 350,Base,SUV,automatic,ca,4.3,83857.0,white,beige,22000,2014
1370,2012,Kia,Sorento,LX,SUV,automatic,ca,4.8,81598.0,silver,black,11900,2015
1371,2012,MINI,Cooper Clubman,S,Hatchback,manual,ca,4.0,17524.0,gray,brown,19000,2014
1372,2012,Lincoln,Navigator,Base,SUV,automatic,ca,4.1,33220.0,black,black,32000,2014
1373,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.0,39841.0,gray,—,13500,2014
1374,2012,Jaguar,XJ,XJL Supercharged,Sedan,automatic,ca,3.3,20861.0,black,black,50000,2014
1375,2012,Lexus,RX 350,Base,SUV,automatic,ca,4.3,33323.0,off-white,beige,31500,2014
1376,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,33382.0,blue,black,22500,2014
1377,2012,Kia,Forte,SX,Hatchback,automatic,ca,2.4,87145.0,black,black,7000,2015
1378,2012,Kia,Sportage,EX,SUV,automatic,ca,3.8,41879.0,blue,gray,16500,2014
1379,2012,Mazda,Mazda6,i Grand Touring,Sedan,automatic,ca,4.1,33290.0,white,beige,15500,2014
1380,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.2,16106.0,brown,—,15750,2014
1382,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.9,18978.0,gray,—,15000,2014
1383,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,ca,4.4,71702.0,black,black,18250,2014
1384,2012,Lexus,RX 350,Base,SUV,automatic,ca,4.2,35965.0,gray,gray,27500,2014
1385,2012,MINI,Cooper,Base,Hatchback,manual,ca,3.8,32427.0,red,black,13750,2014
1386,2012,Jeep,Wrangler,Unlimited Sport,SUV,automatic,ca,3.3,58226.0,white,black,21800,2014
1387,2012,Lexus,IS 250,Base,Sedan,automatic,ca,2.2,49618.0,gray,black,18800,2014
1388,2012,Jaguar,XJ,Base,Sedan,automatic,ca,4.2,10743.0,silver,black,40750,2014
1389,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.9,26366.0,white,—,14000,2014
1390,2012,Jaguar,XK,XKR,Convertible,automatic,ca,3.8,14806.0,gray,black,53500,2014
1391,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,ca,2.9,54252.0,gray,black,17300,2015
1392,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.4,33849.0,black,black,20000,2014
1393,2012,MINI,Cooper Clubman,S,Hatchback,automatic,ca,3.3,32407.0,blue,—,19000,2014
1394,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,3.8,48020.0,white,beige,20250,2014
1395,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.4,40700.0,black,black,20750,2014
1396,2012,Infiniti,M,M35h,Sedan,automatic,ca,4.4,45538.0,white,gray,29250,2015
1397,2012,Jaguar,XK,Base,Coupe,automatic,ca,2.1,9708.0,black,black,43200,2014
1398,2012,Mercedes-Benz,E-Class,E350,Convertible,automatic,ca,3.5,43642.0,white,black,27900,2015
1399,2012,Infiniti,G Sedan,G37 Journey,G Sedan,manual,ca,3.5,25896.0,black,black,25250,2015
1400,2012,MINI,Cooper,Base,Hatchback,manual,ca,3.8,34689.0,red,—,11700,2015
1401,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,2.8,9628.0,silver,black,22500,2014
1402,2012,MINI,Cooper,S,Hatchback,automatic,ca,3.5,39614.0,blue,—,16250,2014
1403,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.8,19479.0,black,gray,21250,2014
1404,2012,Infiniti,M,M37,Sedan,automatic,ca,4.5,26668.0,gray,black,27250,2014
1405,2012,Jaguar,XF,Portfolio,Sedan,automatic,ca,3.9,37908.0,black,brown,30500,2014
1406,2012,Infiniti,M,M37,Sedan,automatic,ca,4.1,42871.0,—,beige,24000,2014
1407,2012,Mazda,CX-9,Touring,SUV,automatic,ca,4.2,21215.0,black,black,23750,2014
1408,2012,Infiniti,M,M37,Sedan,automatic,ca,4.2,31762.0,—,black,26500,2015
1409,2012,Kia,Sportage,EX,SUV,automatic,ca,4.1,28510.0,black,gray,13700,2014
1410,2012,Mercedes-Benz,E-Class,E350,Coupe,automatic,ca,4.0,28993.0,white,gray,25500,2014
1411,2012,Infiniti,M,M37,Sedan,automatic,ca,4.1,30146.0,gray,—,26750,2014
1412,2012,MINI,Cooper,Base,Hatchback,manual,ca,4.1,17030.0,white,black,14750,2014
1413,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.3,18776.0,blue,black,13500,2014
1414,2012,Mazda,Mazda3,i Sport,Sedan,automatic,ca,4.3,17925.0,gray,black,13500,2014
1415,2012,Kia,Sorento,LX,SUV,automatic,ca,4.8,53444.0,white,beige,14500,2014
1416,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.8,42571.0,green,black,13500,2014
1417,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.4,19915.0,blue,—,16000,2014
1418,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,3.5,33699.0,white,black,21250,2014
1419,2012,Kia,Forte,SX,Sedan,automatic,ca,2.0,18518.0,black,black,10250,2014
1420,2012,Land Rover,Range Rover,HSE,SUV,automatic,ca,3.6,56169.0,black,black,39500,2015
1421,2012,Jaguar,XF,Portfolio,Sedan,automatic,ca,3.4,26967.0,blue,brown,32250,2014
1422,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,22462.0,black,black,23500,2014
1423,2012,MINI,Cooper Countryman,S ALL4,Wagon,automatic,ca,3.6,30311.0,green,—,18500,2015
1424,2012,Infiniti,G Coupe,G37,G Coupe,automatic,ca,3.4,37490.0,white,gray,21000,2014
1425,2012,Kia,Sorento,LX,SUV,automatic,ca,3.6,32661.0,silver,black,15200,2014
1426,2012,MINI,Cooper,S,Convertible,automatic,ca,3.7,26093.0,blue,—,18750,2014
1427,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.0,31565.0,black,black,21750,2014
1428,2012,Kia,Optima,SX,Sedan,automatic,ca,3.7,54430.0,gray,black,16200,2014
1429,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.7,29624.0,blue,—,14500,2014
1430,2012,Infiniti,M,M37,Sedan,automatic,ca,4.1,31067.0,gray,black,26250,2014
1431,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,ca,3.9,92610.0,silver,beige,14500,2014
1432,2012,MINI,Cooper,S,Hatchback,manual,ca,4.0,25071.0,blue,—,16750,2015
1433,2012,Jaguar,XF,Base,Sedan,automatic,ca,4.4,22339.0,white,beige,30500,2014
1434,2012,Kia,Forte,Koup EX,Koup,automatic,ca,3.8,37022.0,white,black,11500,2014
1435,2012,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,ca,4.5,19491.0,black,black,58750,2014
1436,2012,MINI,Cooper,Base,Hatchback,automatic,ca,3.6,42890.0,white,—,13000,2014
1437,2012,Kia,Optima,SX,Sedan,automatic,ca,1.0,47220.0,blue,black,12900,2014
1438,2012,MINI,Cooper,Base,Hatchback,automatic,ca,4.6,20149.0,green,—,14750,2014
1439,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.0,26224.0,white,black,20750,2014
1440,2012,Lexus,RX 350,Base,SUV,automatic,ca,3.0,36090.0,gray,black,28500,2014
1441,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,26640.0,black,black,22750,2014
1442,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,3.5,34046.0,silver,black,21750,2014
1443,2012,Mazda,Mazda6,i Sport,Sedan,automatic,ca,3.1,49626.0,black,black,10750,2014
1444,2012,MINI,Cooper,Base,Hatchback,manual,ca,2.8,41755.0,red,—,12200,2015
1445,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,2.9,20015.0,black,black,22000,2014
1446,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,52859.0,gray,black,17500,2014
1447,2012,MINI,Cooper,Base,Convertible,automatic,ca,3.8,41232.0,red,black,15250,2014
1448,2012,Kia,Soul,Base,Wagon,automatic,ca,3.4,51141.0,green,black,9800,2014
1449,2012,Jaguar,XJ,Base,Sedan,automatic,ca,2.8,27533.0,blue,gray,35500,2014
1450,2012,Mazda,Mazda3,i Sport,Sedan,automatic,ca,3.7,48544.0,gray,black,11000,2014
1451,2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,ca,3.6,41302.0,white,black,23000,2014
1452,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,49338.0,white,gray,22250,2014
1453,2012,MINI,Cooper,Base,Convertible,automatic,ca,3.6,36053.0,red,black,15000,2014
1454,2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,ca,4.1,32178.0,black,black,28500,2014
